       terms        Mmax subset I       Mmax subset II      Mmax subset III       Mmax subset IV         Fmax subset I       Fmax subset II      Fmax subset III       Fmax subset IV  
x3 x4 x4 x4                7.8146             -0.49637                    0                    0              13.1847               8.7414                    0                    0  
x3 x4 x4 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x3 x4 x4 x6                     0               6.6849                    0                    0                    0               6.7732                    0                    0  
x3 x4 x4 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x3 x4 x5 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x3 x4 x5 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x3 x4 x5 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x3 x4 x6 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x3 x4 x6 x7                     0             -10.0121                    0                    0                    0             -28.2021                    0                    0  
x3 x4 x7 x7               -1.7554                    0                    0                    0               3.6154                    0                    0                    0  
x3 x5 x5 x5               -7.7495                    0                    0                    0             -13.0325                    0                    0                    0  
x3 x5 x5 x6               0.26487                    0                    0                    0              -0.1172                    0                    0                    0  
x3 x5 x5 x7              -0.15269                    0                    0                    0              0.27342                    0                    0                    0  
x3 x5 x6 x6                1.7699                    0                    0                    0              -4.9201                    0                    0                    0  
x3 x5 x6 x7                     0                    0                    0                    0               1.2093                    0                    0                    0  
x3 x5 x7 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x3 x6 x6 x6                8.8831                    0                    0                    0              -6.9549                    0                    0                    0  
x3 x6 x6 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x3 x6 x7 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x3 x7 x7 x7               -8.8841               3.8938                    0              -9.9879               6.9565              13.5027                    0             -32.4917  
x4 x4 x4 x4               -3.5706              -3.6712              -19.822              79.2426               -8.533               1.2927             -19.5197              81.1181  
x4 x4 x4 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x4 x4 x4 x6               -3.4293                    0                    0                    0               3.5036                    0                    0                    0  
x4 x4 x4 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x4 x4 x5 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x4 x4 x5 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x4 x4 x5 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x4 x4 x6 x6                     0              -2.3708                    0                    0                    0             -14.8545                    0                    0  
x4 x4 x6 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x4 x4 x7 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x4 x5 x5 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x4 x5 x5 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x4 x5 x5 x7                     0               2.1764                    0                    0                    0              13.3461                    0                    0  
x4 x5 x6 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x4 x5 x6 x7                     0                    0                    0                -0.69                    0                    0                    0               7.1829  
x4 x5 x7 x7                     0                    0               1.1282                    0                    0                    0               1.5086                    0  
x4 x6 x6 x6               -6.7246                    0                    0                    0              11.0294                    0                    0                    0  
x4 x6 x6 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x4 x6 x7 x7                     0                    0            -0.069859                    0                    0                    0              0.15516                    0  
x4 x7 x7 x7                6.7596              13.9311                    0                    0             -11.2339              -3.6846                    0                    0  
x5 x5 x5 x5                3.5706               2.9233              24.8082             -72.6191               8.5333              -5.7749              24.4105             -80.8841  
x5 x5 x5 x6                3.4294                    0              -1.1298                    0              -3.5038                    0             -0.92879                    0  
x5 x5 x5 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x5 x5 x6 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x5 x5 x6 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x5 x5 x7 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x5 x6 x6 x6                7.0139                    0              -2.7652                    0             -10.3866                    0              -3.1347                    0  
x5 x6 x6 x7                -7.049                    0                    0                    0              10.5911                    0                    0                    0  
x5 x6 x7 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x5 x7 x7 x7                     0             -12.7703                    0                    0                    0              11.0944                    0                    0  
x6 x6 x6 x6                5.2425               -4.883              0.23715             -14.1456              -7.9611              11.3638              0.50918             -13.2878  
x6 x6 x6 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x6 x6 x7 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x6 x7 x7 x7              -10.9097                    0                    0                    0              14.0915                    0                    0                    0  
x7 x7 x7 x7                5.6671               4.6671             -0.95951              17.2199              -6.1303             -12.7643                    0              20.1152  
